lcs,lcs2,ngd,jacpos,cospos,lev1,euc,FFF,cos2,cos,cos1,jac2,jac,f2,sizediff,dis,l1,l2,lsa,sim
0.5,0.666666667,0.816496581,0.333333333,0.878310066,3,0.5,TRUE,0,0.577350269,0.866025404,0.25,0.6,176175,0,1,FALSE,FALSE,0.991067075,no
0.666666667,0.666666667,1,0,0.935414347,2,0.333333333,TRUE,0,0.666666667,1,0,0.5,176175,0,0,FALSE,TRUE,1,yes
0.4,0.6,0.288675135,0.833333333,0.534522484,5,1,FALSE,0,0.447213595,0.447213595,0.714285714,0.714285714,1307593,1,1,TRUE,FALSE,0.716500469,no
0.2,0.666666667,0.353553391,0.8,0.686406473,6,0.8,FALSE,0,0.25819889,0.516397779,0.666666667,0.857142857,2034207,1,2,FALSE,FALSE,0.481547391,no
0.5,0.5,0.333333333,0.8,0.707106781,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,441246,0,0,FALSE,TRUE,0.662400278,no
0.5,0.75,0.666666667,0.5,0.801783726,3,1,FALSE,0,0.577350269,0.577350269,0.6,0.6,299639,1,1,TRUE,TRUE,0.859944232,yes
0.75,0.75,0.5,0.666666667,0.857142857,2,0.25,FALSE,0,0.75,0.75,0.4,0.4,4096996,0,0,FALSE,TRUE,0.999913803,no
0.8,0.75,0.866025404,0.25,0.882522608,1,0.2,TRUE,0,0.894427191,0.894427191,0.2,0.2,4096576,0,1,FALSE,FALSE,0.855605852,no
0,0.666666667,0.333333333,0.8,0.667423812,7,1,FALSE,0,0,0.288675135,0.833333333,1,2037482,1,1,FALSE,FALSE,0.713235331,no
0.25,0.666666667,0,1,0.6172134,5,0.75,FALSE,0,0.288675135,0.288675135,0.833333333,0.833333333,4096577,0,1,FALSE,FALSE,0.163595237,no
0.333333333,0.5,0.25,0.857142857,0.502518908,8,0.833333333,FALSE,0,0.333333333,0.333333333,0.8,0.8,2038760,3,0,FALSE,FALSE,0.557148371,no
0.6,0.8,0.316227766,0.833333333,0.596284794,2,0.8,FALSE,0,0.774596669,0.774596669,0.4,0.4,4096997,0,2,TRUE,FALSE,0.800210454,yes
0.6,0.75,0.866025404,0.25,0.838627869,3,0.6,FALSE,0,0.670820393,0.894427191,0.2,0.5,4096576,0,1,TRUE,FALSE,0.999205067,no
0.333333333,1,0.223606798,0.875,0.40824829,6,1,FALSE,0,0.40824829,0.40824829,0.75,0.75,91953,3,2,TRUE,TRUE,0.673904483,no
0.428571429,0.571428571,0.40824829,0.75,0.474341649,6,0.857142857,FALSE,0,0.507092553,0.507092553,0.666666667,0.666666667,605473,3,2,TRUE,TRUE,0.634854619,no
0.8,0.2,0.75,0.4,0.923076923,2,0.2,FALSE,0,0.8,0.8,0.333333333,0.333333333,4096580,0,0,TRUE,TRUE,0.799813529,yes
0.5,0.666666667,0.676123404,0.5,0.623609564,6,1,FALSE,0,0.577350269,0.577350269,0.6,0.6,664040,3,2,TRUE,TRUE,0.615963715,no
0.75,0.333333333,0.866025404,0.25,0.930949336,1,0.75,FALSE,0,0.866025404,0.866025404,0.25,0.25,417610,0,1,TRUE,TRUE,0.863479324,no
0,0.666666667,0,1,0.40824829,8,1,FALSE,0,0,0,1,1,548332,0,2,FALSE,FALSE,0.082598718,no
0.5,0.75,0.333333333,0.8,0.668153105,4,0.5,FALSE,0,0.5,0.5,0.666666667,0.666666667,4096577,0,0,TRUE,FALSE,0.628237888,no
0,0.5,0,1,0.505721737,15,1,FALSE,0,0,0,1,1,240939,0,1,FALSE,FALSE,-0.015236864,no
0.5,0.75,0.816496581,0.333333333,0.875,3,0.5,TRUE,0,0.577350269,0.866025404,0.25,0.6,176175,0,1,FALSE,FALSE,0.986011016,no
0.6,0.6,0.75,0.4,0.85811633,3,1,FALSE,0,0.670820393,0.670820393,0.5,0.5,548153,0,1,TRUE,TRUE,0.777222045,no
